id,title,authors,published,year,categories,arxiv_url,pdf_url,code,_domains,_tasks,publication
2602.15775v1,NeRFscopy: Neural Radiance Fields for in-vivo Time-Varying Tissues from Endoscopy,Laura Salort-Benejam; Antonio Agudo,2026-02-17,2026,cs.CV,http://arxiv.org/abs/2602.15775v1,https://arxiv.org/pdf/2602.15775v1,,world_model; medical_ai,NeRF; 3DRecon; MedImg; Clinical; Surgery,
2506.19742v1,NeRF-based CBCT Reconstruction needs Normalization and Initialization,Zhuowei Xu; Han Li; Dai Sun; Zhicheng Li; Yujia Li; Qingpeng Kong; Zhiwei Cheng; Nassir Navab; S. Kevin Zhou,2025-06-24,2025,eess.IV; cs.AI; cs.CV,http://arxiv.org/abs/2506.19742v1,https://arxiv.org/pdf/2506.19742v1,,world_model; medical_ai,NeRF; MedImg,
2604.08226v1,Grounding Clinical AI Competency in Human Cognition Through the Clinical World Model and Skill-Mix Framework,Seyed Amir Ahmad Safavi-Naini; Elahe Meftah; Josh Mohess; Pooya Mohammadi Kazaj; Georgios Siontis; Zahra Atf; Peter R. Lewis; Mauricio Reyes; Girish Nadkarni; Roland Wiest,2026-04-09,2026,cs.AI; cs.HC; eess.SY,http://arxiv.org/abs/2604.08226v1,https://arxiv.org/pdf/2604.08226v1,,world_model; medical_ai,,
2603.13024v1,SAW: Toward a Surgical Action World Model via Controllable and Scalable Video Generation,Sampath Rapuri; Lalithkumar Seenivasan; Dominik Schneider; Roger Soberanis-Mukul; Yufan He; Hao Ding; Jiru Xu; Chenhao Yu; Chenyan Jing; Pengfei Guo,2026-03-13,2026,cs.CV; cs.AI; cs.LG; eess.IV,http://arxiv.org/abs/2603.13024v1,https://arxiv.org/pdf/2603.13024v1,,world_model; medical_ai,VidGen; Sim2Real; RobotLearn,
2603.02274v1,Contextual Invertible World Models: A Neuro-Symbolic Agentic Framework for Colorectal Cancer Drug Response,Christopher Baker; Karen Rafferty; Hui Wang,2026-03-01,2026,q-bio.QM; cs.AI,http://arxiv.org/abs/2603.02274v1,https://arxiv.org/pdf/2603.02274v1,,world_model; medical_ai,Cancer; Protein; Clinical,
2510.17211v2,Temporally Detailed Hypergraph Neural ODEs for Disease Progression Modeling,Tingsong Xiao; Yao An Lee; Zelin Xu; Yupu Zhang; Zibo Liu; Yu Huang; Jiang Bian; Jingchuan Guo; Zhe Jiang,2025-10-20,2025,cs.AI; cs.LG,http://arxiv.org/abs/2510.17211v2,https://arxiv.org/pdf/2510.17211v2,,medical_ai,Clinical,
2602.23870v1,"Hybrid Offline-Online Reinforcement Learning for Sensorless, High-Precision Force Regulation in Surgical Robotic Grasping",Edoardo Fazzari; Omar Mohamed; Khalfan Hableel; Hamdan Alhadhrami; Cesare Stefanini,2026-02-27,2026,cs.RO,http://arxiv.org/abs/2602.23870v1,https://arxiv.org/pdf/2602.23870v1,,world_model; physical_ai; medical_ai,Sim2Real; RobotLearn; Surgery,
2602.17310v1,Attachment Anchors: A Novel Framework for Laparoscopic Grasping Point Prediction in Colorectal Surgery,Dennis N. Schneider; Lars Wagner; Daniel Rueckert; Dirk Wilhelm,2026-02-19,2026,cs.CV,http://arxiv.org/abs/2602.17310v1,https://arxiv.org/pdf/2602.17310v1,,medical_ai,HealthMon,
2601.10342v1,C-GRASP: Clinically-Grounded Reasoning for Affective Signal Processing,Cheng Lin Cheng; Ting Chuan Lin; Chai Kai Chang,2026-01-15,2026,cs.AI,http://arxiv.org/abs/2601.10342v1,https://arxiv.org/pdf/2601.10342v1,,world_model; medical_ai,MBRL; Clinical; HealthMon,
2601.02378v1,Modeling the Mental World for Embodied AI: A Comprehensive Review,Biyuan Liu; Daigang Xu; Lei Jiang; Wenjun Guo; Ping Chen,2025-12-17,2025,cs.RO,http://arxiv.org/abs/2601.02378v1,https://arxiv.org/pdf/2601.02378v1,,world_model; physical_ai; medical_ai,EmbodiedWM; Embodied; HealthMon,
