id,title,authors,published,year,categories,arxiv_url,pdf_url,code,_domains,_tasks,publication
2312.14134v3,Diffusion Reward: Learning Rewards via Conditional Video Diffusion,Tao Huang; Guangqi Jiang; Yanjie Ze; Huazhe Xu,2023-12-21,2023,cs.LG; cs.CV; cs.RO,http://arxiv.org/abs/2312.14134v3,https://arxiv.org/pdf/2312.14134v3,,world_model; physical_ai,VidGen; Sim2Real; RobotLearn,
2304.13723v1,A Control-Centric Benchmark for Video Prediction,Stephen Tian; Chelsea Finn; Jiajun Wu,2023-04-26,2023,cs.CV; cs.AI; cs.LG; cs.RO,http://arxiv.org/abs/2304.13723v1,https://arxiv.org/pdf/2304.13723v1,,world_model; physical_ai,VidGen; MBRL; Sim2Real; EmbodiedWM; RobotLearn,
2312.06686v1,Robo360: A 3D Omnispective Multi-Material Robotic Manipulation Dataset,Litian Liang; Liuyu Bian; Caiwei Xiao; Jialin Zhang; Linghao Chen; Isabella Liu; Fanbo Xiang; Zhiao Huang; Hao Su,2023-12-09,2023,cs.CV; cs.RO,http://arxiv.org/abs/2312.06686v1,https://arxiv.org/pdf/2312.06686v1,,world_model; physical_ai,NeRF; RobotLearn; HealthMon,
2312.05044v2,Backward Learning for Goal-Conditioned Policies,Marc Höftmann; Jan Robine; Stefan Harmeling,2023-12-08,2023,cs.LG; cs.AI,http://arxiv.org/abs/2312.05044v2,https://arxiv.org/pdf/2312.05044v2,,world_model; physical_ai,RobotLearn,
2311.13549v1,ADriver-I: A General World Model for Autonomous Driving,Fan Jia; Weixin Mao; Yingfei Liu; Yucheng Zhao; Yuqing Wen; Chi Zhang; Xiangyu Zhang; Tiancai Wang,2023-11-22,2023,cs.CV; cs.RO,http://arxiv.org/abs/2311.13549v1,https://arxiv.org/pdf/2311.13549v1,,world_model; physical_ai,VidGen; Embodied,
2311.09353v1,"Flexible and Adaptive Manufacturing by Complementing Knowledge Representation, Reasoning and Planning with Reinforcement Learning",Matthias Mayr; Faseeh Ahmad; Volker Krueger,2023-11-15,2023,cs.RO,http://arxiv.org/abs/2311.09353v1,https://arxiv.org/pdf/2311.09353v1,https://github.com/RVMI/skiros2,world_model; physical_ai,RobotLearn; HealthMon,
2311.08345v1,Speeding Up Optimization-based Motion Planning through Deep Learning,Johannes Tenhumberg; Darius Burschka; Berthold Bäuml,2023-11-14,2023,cs.RO,http://arxiv.org/abs/2311.08345v1,https://arxiv.org/pdf/2311.08345v1,,world_model; physical_ai,Embodied; RobotLearn,
2311.05938v1,Efficient Learning of Fast Inverse Kinematics with Collision Avoidance,Johannes Tenhumberg; Arman Mielke; Berthold Bäuml,2023-11-10,2023,cs.RO,http://arxiv.org/abs/2311.05938v1,https://arxiv.org/pdf/2311.05938v1,,world_model; physical_ai,Embodied; RobotLearn,
2310.16828v2,"TD-MPC2: Scalable, Robust World Models for Continuous Control",Nicklas Hansen; Hao Su; Xiaolong Wang,2023-10-25,2023,cs.LG; cs.AI; cs.CV; cs.RO,http://arxiv.org/abs/2310.16828v2,https://arxiv.org/pdf/2310.16828v2,,world_model; physical_ai,MBRL; RobotLearn,
2310.05921v3,Conformal Decision Theory: Safe Autonomous Decisions from Imperfect Predictions,Jordan Lekeufack; Anastasios N. Angelopoulos; Andrea Bajcsy; Michael I. Jordan; Jitendra Malik,2023-10-09,2023,stat.ML; cs.LG; cs.RO; stat.ME,http://arxiv.org/abs/2310.05921v3,https://arxiv.org/pdf/2310.05921v3,,world_model; physical_ai,RobotLearn,
2309.14236v2,MoDem-V2: Visuo-Motor World Models for Real-World Robot Manipulation,Patrick Lancaster; Nicklas Hansen; Aravind Rajeswaran; Vikash Kumar,2023-09-25,2023,cs.RO; cs.AI; cs.CV; cs.LG,http://arxiv.org/abs/2309.14236v2,https://arxiv.org/pdf/2309.14236v2,,world_model; physical_ai,MBRL; Sim2Real; RobotLearn,
2307.10710v1,Reparameterized Policy Learning for Multimodal Trajectory Optimization,Zhiao Huang; Litian Liang; Zhan Ling; Xuanlin Li; Chuang Gan; Hao Su,2023-07-20,2023,cs.LG,http://arxiv.org/abs/2307.10710v1,https://arxiv.org/pdf/2307.10710v1,,world_model; physical_ai,RobotLearn,
2306.12672v2,From Word Models to World Models: Translating from Natural Language to the Probabilistic Language of Thought,Lionel Wong; Gabriel Grand; Alexander K. Lew; Noah D. Goodman; Vikash K. Mansinghka; Jacob Andreas; Joshua B. Tenenbaum,2023-06-22,2023,cs.CL; cs.AI; cs.SC,http://arxiv.org/abs/2306.12672v2,https://arxiv.org/pdf/2306.12672v2,,world_model; physical_ai,HealthMon,
2306.11335v4,Surfer: Progressive Reasoning with World Models for Robotic Manipulation,Pengzhen Ren; Kaidong Zhang; Hetao Zheng; Zixuan Li; Yuhang Wen; Fengda Zhu; Mas Ma; Xiaodan Liang,2023-06-20,2023,cs.RO; cs.AI; cs.CV; cs.LG,http://arxiv.org/abs/2306.11335v4,https://arxiv.org/pdf/2306.11335v4,,world_model; physical_ai,Embodied; RobotLearn,
2305.18499v2,Pre-training Contextualized World Models with In-the-wild Videos for Reinforcement Learning,Jialong Wu; Haoyu Ma; Chaoyi Deng; Mingsheng Long,2023-05-29,2023,cs.CV; cs.LG; cs.RO,http://arxiv.org/abs/2305.18499v2,https://arxiv.org/pdf/2305.18499v2,https://github.com/thuml/ContextWM,world_model; physical_ai,MBRL; RobotLearn,
2305.14644v1,KARNet: Kalman Filter Augmented Recurrent Neural Network for Learning World Models in Autonomous Driving Tasks,Hemanth Manjunatha; Andrey Pak; Dimitar Filev; Panagiotis Tsiotras,2023-05-24,2023,cs.LG; cs.RO,http://arxiv.org/abs/2305.14644v1,https://arxiv.org/pdf/2305.14644v1,,world_model; physical_ai,PINN,
2304.12502v1,Causal Semantic Communication for Digital Twins: A Generalizable Imitation Learning Approach,Christo Kurisummoottil Thomas; Walid Saad; Yong Xiao,2023-04-25,2023,cs.LG; cs.IT; eess.SP; stat.ME,http://arxiv.org/abs/2304.12502v1,https://arxiv.org/pdf/2304.12502v1,,world_model; physical_ai,Sim2Real; RobotLearn,
2304.02639v3,ENTL: Embodied Navigation Trajectory Learner,Klemen Kotar; Aaron Walsman; Roozbeh Mottaghi,2023-04-05,2023,cs.CV; cs.RO,http://arxiv.org/abs/2304.02639v3,https://arxiv.org/pdf/2304.02639v3,,world_model; physical_ai,VidGen; RobotLearn,
2302.07457v3,When Demonstrations Meet Generative World Models: A Maximum Likelihood Framework for Offline Inverse Reinforcement Learning,Siliang Zeng; Chenliang Li; Alfredo Garcia; Mingyi Hong,2023-02-15,2023,cs.LG; cs.AI,http://arxiv.org/abs/2302.07457v3,https://arxiv.org/pdf/2302.07457v3,,world_model; physical_ai; medical_ai,RobotLearn; Clinical,
